name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,dolphins,HCM,2,62,159,42,6,0,6,7,0.56,39.5,23.5,1,3,0,27,36,6,46.2,0.00581,0.017,0.333,5,7.3,6,6,7,0.56,38.5,24.5,25,30,0.52,33,30,33,13,0.77,49,14,34,25,0.57,36.5,26.5,18,9,0.62,42.5,20.5,6,10,0.59,39.5,23.5,20,14,0.62,39.5,23.5,2,3,0.2,23,40,0.5,5.9516,120.73571
0,dolphins,HCM,2,62,159,42,6,0,6,7,0.56,39.5,23.5,1,3,0,27,36,6,46.2,0.00581,0.017,0.333,5,7.3,6,6,7,0.56,38.5,24.5,25,30,0.52,33,30,33,13,0.77,49,14,34,25,0.57,36.5,26.5,18,9,0.62,42.5,20.5,6,10,0.59,39.5,23.5,20,14,0.62,39.5,23.5,2,3,0.2,23,40,1,2.1399,24.74353
0,dolphins,HCM,2,62,159,42,6,0,6,7,0.56,39.5,23.5,1,3,0,27,36,6,46.2,0.00581,0.017,0.333,5,7.3,6,6,7,0.56,38.5,24.5,25,30,0.52,33,30,33,13,0.77,49,14,34,25,0.57,36.5,26.5,18,9,0.62,42.5,20.5,6,10,0.59,39.5,23.5,20,14,0.62,39.5,23.5,2,3,0.2,23,40,5,0.36245,0.23789
1,dolphins,HCM,2,62,159,20,6,2,6,7,0.56,39.5,23.5,3,1,0.97,61,2,8,361.4,0.00613,0.0248,0.143,4,5.6,5,8,5,0.8,51.5,11.5,53,2,0.98,61,2,40,6,0.92,57,6,49,10,0.85,53,10,5,22,0.31,20,43,5,11,0.52,34.5,28.5,8,26,0.2,13.5,49.5,1,4,0,6.5,56.5,0.5,5.1459,90.32159
1,dolphins,HCM,2,62,159,20,6,2,6,7,0.56,39.5,23.5,3,1,0.97,61,2,8,361.4,0.00613,0.0248,0.143,4,5.6,5,8,5,0.8,51.5,11.5,53,2,0.98,61,2,40,6,0.92,57,6,49,10,0.85,53,10,5,22,0.31,20,43,5,11,0.52,34.5,28.5,8,26,0.2,13.5,49.5,1,4,0,6.5,56.5,1,2.34326,22.91687
1,dolphins,HCM,2,62,159,20,6,2,6,7,0.56,39.5,23.5,3,1,0.97,61,2,8,361.4,0.00613,0.0248,0.143,4,5.6,5,8,5,0.8,51.5,11.5,53,2,0.98,61,2,40,6,0.92,57,6,49,10,0.85,53,10,5,22,0.31,20,43,5,11,0.52,34.5,28.5,8,26,0.2,13.5,49.5,1,4,0,6.5,56.5,5,0.40554,0.28334
10,dolphins,HCM,2,62,159,42,5,0,5,8,0.48,32,31,1,3,0,27,36,5,47.7,0.00546,0.0151,0.4,4,6.2,6,5,8,0.43,30.5,32.5,26,29,0.54,34,29,28,18,0.67,42,21,27,32,0.46,29,34,21,6,0.79,50,13,5,11,0.52,34.5,28.5,12,22,0.33,22.5,40.5,2,3,0.2,23,40,0.5,6.30866,88.57068
10,dolphins,HCM,2,62,159,42,5,0,5,8,0.48,32,31,1,3,0,27,36,5,47.7,0.00546,0.0151,0.4,4,6.2,6,5,8,0.43,30.5,32.5,26,29,0.54,34,29,28,18,0.67,42,21,27,32,0.46,29,34,21,6,0.79,50,13,5,11,0.52,34.5,28.5,12,22,0.33,22.5,40.5,2,3,0.2,23,40,1,3.36359,148.31017
10,dolphins,HCM,2,62,159,42,5,0,5,8,0.48,32,31,1,3,0,27,36,5,47.7,0.00546,0.0151,0.4,4,6.2,6,5,8,0.43,30.5,32.5,26,29,0.54,34,29,28,18,0.67,42,21,27,32,0.46,29,34,21,6,0.79,50,13,5,11,0.52,34.5,28.5,12,22,0.33,22.5,40.5,2,3,0.2,23,40,5,0.36898,0.26031
11,dolphins,HCM,2,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00408,0.00508,0,0,10,8,1,12,0,5,58,1,54,0,5,58,7,39,0.13,10,53,4,55,0.05,4.5,58.5,1,26,0,8.5,54.5,1,15,0,8.5,54.5,33,1,0.97,61,2,4,1,0.89,58.5,4.5,0.5,10.49532,245.43572
11,dolphins,HCM,2,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00408,0.00508,0,0,10,8,1,12,0,5,58,1,54,0,5,58,7,39,0.13,10,53,4,55,0.05,4.5,58.5,1,26,0,8.5,54.5,1,15,0,8.5,54.5,33,1,0.97,61,2,4,1,0.89,58.5,4.5,1,7.48943,209.12892
11,dolphins,HCM,2,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00408,0.00508,0,0,10,8,1,12,0,5,58,1,54,0,5,58,7,39,0.13,10,53,4,55,0.05,4.5,58.5,1,26,0,8.5,54.5,1,15,0,8.5,54.5,33,1,0.97,61,2,4,1,0.89,58.5,4.5,5,2.72529,98.3374
12,dolphins,HCM,2,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00441,0.00484,0,0,10,7,1,12,0,5,58,1,54,0,5,58,12,34,0.26,17,46,1,58,0,1,62,1,26,0,8.5,54.5,1,15,0,8.5,54.5,33,1,0.97,61,2,3,2,0.54,44,19,0.5,9.46428,167.18159
12,dolphins,HCM,2,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00441,0.00484,0,0,10,7,1,12,0,5,58,1,54,0,5,58,12,34,0.26,17,46,1,58,0,1,62,1,26,0,8.5,54.5,1,15,0,8.5,54.5,33,1,0.97,61,2,3,2,0.54,44,19,1,7.40906,171.94362
12,dolphins,HCM,2,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00441,0.00484,0,0,10,7,1,12,0,5,58,1,54,0,5,58,12,34,0.26,17,46,1,58,0,1,62,1,26,0,8.5,54.5,1,15,0,8.5,54.5,33,1,0.97,61,2,3,2,0.54,44,19,5,2.35799,53.5986
13,dolphins,HCM,2,62,159,20,8,0,8,5,0.84,53,10,1,3,0,27,36,8,92.1,0.00455,0.0259,0.5,14,6.2,6,8,5,0.8,51.5,11.5,38,17,0.74,46,17,15,31,0.31,20,43,50,9,0.87,54,9,22,5,0.84,52.5,10.5,13,3,0.95,59,4,12,22,0.33,22.5,40.5,2,3,0.2,23,40,0.5,6.94217,149.98593
