name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,dolphins,HCMStar,1,62,159,42,6,0,6,7,0.56,39.5,23.5,1,3,0,27,36,6,69.8,0.00562,0.0188,0,0,7.2,6,6,7,0.56,38.5,24.5,33,20,0.69,43,20,30,17,0.54,35,28,35,23,0.64,40,23,1,22,0,12.5,50.5,1,9,0,12.5,50.5,22,10,0.77,48.5,14.5,3,2,0.57,47.5,15.5,0.5,5.7526,111.40501
0,dolphins,HCMStar,1,62,159,42,6,0,6,7,0.56,39.5,23.5,1,3,0,27,36,6,69.8,0.00562,0.0188,0,0,7.2,6,6,7,0.56,38.5,24.5,33,20,0.69,43,20,30,17,0.54,35,28,35,23,0.64,40,23,1,22,0,12.5,50.5,1,9,0,12.5,50.5,22,10,0.77,48.5,14.5,3,2,0.57,47.5,15.5,1,2.3323,28.63604
0,dolphins,HCMStar,1,62,159,42,6,0,6,7,0.56,39.5,23.5,1,3,0,27,36,6,69.8,0.00562,0.0188,0,0,7.2,6,6,7,0.56,38.5,24.5,33,20,0.69,43,20,30,17,0.54,35,28,35,23,0.64,40,23,1,22,0,12.5,50.5,1,9,0,12.5,50.5,22,10,0.77,48.5,14.5,3,2,0.57,47.5,15.5,5,0.32576,0.17097
1,dolphins,HCMStar,1,62,159,20,6,2,6,7,0.56,39.5,23.5,3,1,0.97,61,2,8,333.5,0.00629,0.0253,0.143,4,5.2,4,8,5,0.8,51.5,11.5,52,1,1,62,1,40,7,0.87,54,9,49,9,0.87,54,9,14,9,0.69,43,20,5,5,0.77,50.5,12.5,8,24,0.2,14.5,48.5,1,4,0,4.5,58.5,0.5,8.96204,193.24265
1,dolphins,HCMStar,1,62,159,20,6,2,6,7,0.56,39.5,23.5,3,1,0.97,61,2,8,333.5,0.00629,0.0253,0.143,4,5.2,4,8,5,0.8,51.5,11.5,52,1,1,62,1,40,7,0.87,54,9,49,9,0.87,54,9,14,9,0.69,43,20,5,5,0.77,50.5,12.5,8,24,0.2,14.5,48.5,1,4,0,4.5,58.5,1,3.5208,81.36577
1,dolphins,HCMStar,1,62,159,20,6,2,6,7,0.56,39.5,23.5,3,1,0.97,61,2,8,333.5,0.00629,0.0253,0.143,4,5.2,4,8,5,0.8,51.5,11.5,52,1,1,62,1,40,7,0.87,54,9,49,9,0.87,54,9,14,9,0.69,43,20,5,5,0.77,50.5,12.5,8,24,0.2,14.5,48.5,1,4,0,4.5,58.5,5,0.29471,0.09536
10,dolphins,HCMStar,1,62,159,42,5,0,5,8,0.48,32,31,1,3,0,27,36,5,17.5,0.00521,0.015,0.2,2,6.6,6,5,8,0.43,30.5,32.5,12,41,0.34,22,41,24,23,0.43,27,36,25,33,0.46,29.5,33.5,18,5,0.8,53,10,3,7,0.57,38.5,24.5,18,14,0.57,37.5,25.5,3,2,0.57,47.5,15.5,0.5,7.00497,199.70272
10,dolphins,HCMStar,1,62,159,42,5,0,5,8,0.48,32,31,1,3,0,27,36,5,17.5,0.00521,0.015,0.2,2,6.6,6,5,8,0.43,30.5,32.5,12,41,0.34,22,41,24,23,0.43,27,36,25,33,0.46,29.5,33.5,18,5,0.8,53,10,3,7,0.57,38.5,24.5,18,14,0.57,37.5,25.5,3,2,0.57,47.5,15.5,1,3.12299,71.27255
10,dolphins,HCMStar,1,62,159,42,5,0,5,8,0.48,32,31,1,3,0,27,36,5,17.5,0.00521,0.015,0.2,2,6.6,6,5,8,0.43,30.5,32.5,12,41,0.34,22,41,24,23,0.43,27,36,25,33,0.46,29.5,33.5,18,5,0.8,53,10,3,7,0.57,38.5,24.5,18,14,0.57,37.5,25.5,3,2,0.57,47.5,15.5,5,0.32736,0.12553
11,dolphins,HCMStar,1,62,159,42,1,0,1,12,0,5.5,57.5,1,3,0,27,36,1,0,0.00424,0.00521,0,0,6,7,1,12,0,5,58,1,52,0,5.5,57.5,7,40,0.1,7.5,55.5,5,53,0.07,5.5,57.5,1,22,0,12.5,50.5,1,9,0,12.5,50.5,15,17,0.46,30.5,32.5,4,1,0.97,61,2,0.5,22.03802,844.71805
