name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,dolphins,original,,62,159,,,,,,,,,,,,,,6,34.9,0.00568,0.017,0.333,5,7.3,6,6,7,0.56,38.5,24.5,19,35,0.44,28,35,34,10,0.8,50.5,12.5,32,24,0.59,37,26,17,9,0.62,42,21,6,10,0.59,39.5,23.5,21,14,0.61,38.5,24.5,2,3,0.16,20,43,0.5,5.54194,122.82138
0,dolphins,original,,62,159,,,,,,,,,,,,,,6,34.9,0.00568,0.017,0.333,5,7.3,6,6,7,0.56,38.5,24.5,19,35,0.44,28,35,34,10,0.8,50.5,12.5,32,24,0.59,37,26,17,9,0.62,42,21,6,10,0.59,39.5,23.5,21,14,0.61,38.5,24.5,2,3,0.16,20,43,1,2.37007,35.16629
0,dolphins,original,,62,159,,,,,,,,,,,,,,6,34.9,0.00568,0.017,0.333,5,7.3,6,6,7,0.56,38.5,24.5,19,35,0.44,28,35,34,10,0.8,50.5,12.5,32,24,0.59,37,26,17,9,0.62,42,21,6,10,0.59,39.5,23.5,21,14,0.61,38.5,24.5,2,3,0.16,20,43,5,0.39931,0.25584
1,dolphins,original,,62,159,,,,,,,,,,,,,,8,390.4,0.0061,0.0247,0.143,4,5.6,5,8,5,0.8,51.5,11.5,52,2,0.98,61,2,38,6,0.92,57,6,46,10,0.85,53,10,4,22,0.3,19,44,5,11,0.52,34.5,28.5,9,26,0.21,14.5,48.5,1,4,0,5.5,57.5,0.5,6.50726,153.56544
1,dolphins,original,,62,159,,,,,,,,,,,,,,8,390.4,0.0061,0.0247,0.143,4,5.6,5,8,5,0.8,51.5,11.5,52,2,0.98,61,2,38,6,0.92,57,6,46,10,0.85,53,10,4,22,0.3,19,44,5,11,0.52,34.5,28.5,9,26,0.21,14.5,48.5,1,4,0,5.5,57.5,1,2.43728,23.13692
1,dolphins,original,,62,159,,,,,,,,,,,,,,8,390.4,0.0061,0.0247,0.143,4,5.6,5,8,5,0.8,51.5,11.5,52,2,0.98,61,2,38,6,0.92,57,6,46,10,0.85,53,10,4,22,0.3,19,44,5,11,0.52,34.5,28.5,9,26,0.21,14.5,48.5,1,4,0,5.5,57.5,5,0.39099,0.20816
10,dolphins,original,,62,159,,,,,,,,,,,,,,5,29.4,0.00513,0.0151,0.4,4,6.2,7,5,8,0.43,30.5,32.5,18,36,0.43,27,36,24,20,0.46,29.5,33.5,25,31,0.46,29,34,20,6,0.77,49,14,5,11,0.52,34.5,28.5,13,22,0.31,21.5,41.5,3,2,0.48,42,21,0.5,6.91298,154.08085
10,dolphins,original,,62,159,,,,,,,,,,,,,,5,29.4,0.00513,0.0151,0.4,4,6.2,7,5,8,0.43,30.5,32.5,18,36,0.43,27,36,24,20,0.46,29.5,33.5,25,31,0.46,29,34,20,6,0.77,49,14,5,11,0.52,34.5,28.5,13,22,0.31,21.5,41.5,3,2,0.48,42,21,1,2.34901,27.24069
10,dolphins,original,,62,159,,,,,,,,,,,,,,5,29.4,0.00513,0.0151,0.4,4,6.2,7,5,8,0.43,30.5,32.5,18,36,0.43,27,36,24,20,0.46,29.5,33.5,25,31,0.46,29,34,20,6,0.77,49,14,5,11,0.52,34.5,28.5,13,22,0.31,21.5,41.5,3,2,0.48,42,21,5,0.54287,8.56844
11,dolphins,original,,62,159,,,,,,,,,,,,,,1,0,0.00408,0.00508,0,0,10,8,1,12,0,5,58,1,53,0,5,58,9,35,0.15,11,52,4,52,0.05,4.5,58.5,1,25,0,8.5,54.5,1,15,0,8.5,54.5,34,1,0.97,61,2,4,1,0.89,58.5,4.5,0.5,10.1279,240.11353
