graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,name,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,0,10,17.4,0.0109,0.02,0.267,12,11.6,3,6,7,0.43,26.5,24.5,22,26,0.43,22,29,14,10,0.53,27.5,23.5,16,21,0.43,23,28,25,5,0.88,44.5,6.5,11,10,0.65,34.5,16.5,21,6,0.82,41.5,9.5,2,1,0.04,26.5,24.5,0.5,1.40896,2.34597
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,0,10,17.4,0.0109,0.02,0.267,12,11.6,3,6,7,0.43,26.5,24.5,22,26,0.43,22,29,14,10,0.53,27.5,23.5,16,21,0.43,23,28,25,5,0.88,44.5,6.5,11,10,0.65,34.5,16.5,21,6,0.82,41.5,9.5,2,1,0.04,26.5,24.5,1,0.56038,0.1682
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,0,10,17.4,0.0109,0.02,0.267,12,11.6,3,6,7,0.43,26.5,24.5,22,26,0.43,22,29,14,10,0.53,27.5,23.5,16,21,0.43,23,28,25,5,0.88,44.5,6.5,11,10,0.65,34.5,16.5,21,6,0.82,41.5,9.5,2,1,0.04,26.5,24.5,5,0.09817,0.00299
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,1,8,13.9,0.0102,0.0169,0.179,5,10.6,3,4,9,0.29,16,35,16,32,0.31,16,35,8,16,0.27,15,36,10,27,0.31,16,35,11,19,0.29,15,36,5,16,0.22,13.5,37.5,12,15,0.49,25.5,25.5,2,1,0.04,26.5,24.5,0.5,1.76335,10.17304
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,1,8,13.9,0.0102,0.0169,0.179,5,10.6,3,4,9,0.29,16,35,16,32,0.31,16,35,8,16,0.27,15,36,10,27,0.31,16,35,11,19,0.29,15,36,5,16,0.22,13.5,37.5,12,15,0.49,25.5,25.5,2,1,0.04,26.5,24.5,1,0.62279,0.21755
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,1,8,13.9,0.0102,0.0169,0.179,5,10.6,3,4,9,0.29,16,35,16,32,0.31,16,35,8,16,0.27,15,36,10,27,0.31,16,35,11,19,0.29,15,36,5,16,0.22,13.5,37.5,12,15,0.49,25.5,25.5,2,1,0.04,26.5,24.5,5,0.11074,0.00334
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,2,10,27.8,0.0108,0.0206,0.133,6,10.2,3,6,7,0.43,26.5,24.5,36,12,0.76,38,13,13,11,0.45,24.5,26.5,20,17,0.57,30,21,2,28,0.04,3,48,6,15,0.31,18.5,32.5,8,19,0.27,15.5,35.5,2,1,0.04,26.5,24.5,0.5,1.40624,1.82906
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,2,10,27.8,0.0108,0.0206,0.133,6,10.2,3,6,7,0.43,26.5,24.5,36,12,0.76,38,13,13,11,0.45,24.5,26.5,20,17,0.57,30,21,2,28,0.04,3,48,6,15,0.31,18.5,32.5,8,19,0.27,15.5,35.5,2,1,0.04,26.5,24.5,1,0.54882,0.15627
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,2,10,27.8,0.0108,0.0206,0.133,6,10.2,3,6,7,0.43,26.5,24.5,36,12,0.76,38,13,13,11,0.45,24.5,26.5,20,17,0.57,30,21,2,28,0.04,3,48,6,15,0.31,18.5,32.5,8,19,0.27,15.5,35.5,2,1,0.04,26.5,24.5,5,0.10648,0.00307
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,3,11,25.7,0.011,0.0222,0.218,12,10,3,7,6,0.63,35,16,32,16,0.65,33,18,15,9,0.57,30.5,20.5,25,12,0.73,37.5,13.5,17,13,0.59,31,20,11,10,0.65,34.5,16.5,6,21,0.14,9.5,41.5,2,1,0.04,26.5,24.5,0.5,1.40714,2.51818
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,3,11,25.7,0.011,0.0222,0.218,12,10,3,7,6,0.63,35,16,32,16,0.65,33,18,15,9,0.57,30.5,20.5,25,12,0.73,37.5,13.5,17,13,0.59,31,20,11,10,0.65,34.5,16.5,6,21,0.14,9.5,41.5,2,1,0.04,26.5,24.5,1,0.55428,0.29769
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,3,11,25.7,0.011,0.0222,0.218,12,10,3,7,6,0.63,35,16,32,16,0.65,33,18,15,9,0.57,30.5,20.5,25,12,0.73,37.5,13.5,17,13,0.59,31,20,11,10,0.65,34.5,16.5,6,21,0.14,9.5,41.5,2,1,0.04,26.5,24.5,5,0.09904,0.00269
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,4,7,9.9,0.0098,0.0152,0.286,6,10.4,3,3,10,0.12,10.5,40.5,12,36,0.22,12,39,4,20,0.08,5,46,7,30,0.24,13,38,27,3,0.94,47.5,3.5,6,15,0.31,18.5,32.5,10,17,0.43,22.5,28.5,2,1,0.04,26.5,24.5,0.5,1.94657,16.45571
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,4,7,9.9,0.0098,0.0152,0.286,6,10.4,3,3,10,0.12,10.5,40.5,12,36,0.22,12,39,4,20,0.08,5,46,7,30,0.24,13,38,27,3,0.94,47.5,3.5,6,15,0.31,18.5,32.5,10,17,0.43,22.5,28.5,2,1,0.04,26.5,24.5,1,0.68926,1.78729
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,4,7,9.9,0.0098,0.0152,0.286,6,10.4,3,3,10,0.12,10.5,40.5,12,36,0.22,12,39,4,20,0.08,5,46,7,30,0.24,13,38,27,3,0.94,47.5,3.5,6,15,0.31,18.5,32.5,10,17,0.43,22.5,28.5,2,1,0.04,26.5,24.5,5,0.11791,0.00346
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,5,13,40.7,0.0114,0.0257,0.141,11,9.5,3,9,4,0.84,44,7,42,6,0.9,45,6,18,6,0.8,41.5,9.5,31,6,0.9,45,6,4,26,0.08,5,46,10,11,0.59,31,20,4,23,0.06,4.5,46.5,2,1,0.04,26.5,24.5,0.5,1.29858,2.19048
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,5,13,40.7,0.0114,0.0257,0.141,11,9.5,3,9,4,0.84,44,7,42,6,0.9,45,6,18,6,0.8,41.5,9.5,31,6,0.9,45,6,4,26,0.08,5,46,10,11,0.59,31,20,4,23,0.06,4.5,46.5,2,1,0.04,26.5,24.5,1,0.48554,0.09385
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,5,13,40.7,0.0114,0.0257,0.141,11,9.5,3,9,4,0.84,44,7,42,6,0.9,45,6,18,6,0.8,41.5,9.5,31,6,0.9,45,6,4,26,0.08,5,46,10,11,0.59,31,20,4,23,0.06,4.5,46.5,2,1,0.04,26.5,24.5,5,0.09706,0.00242
erdosrenyi50,erdosrenyi,,50,245,,,,,,,,,,,,,,6,13,27.5,0.0111,0.0253,0.308,24,11,3,9,4,0.84,44,7,35,13,0.71,36.5,14.5,16,8,0.65,34.5,16.5,29,8,0.84,42,9,28,2,0.98,49,2,18,3,0.96,48,3,16,11,0.67,34,17,2,1,0.04,26.5,24.5,0.5,1.21743,1.74184
