name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,football,HCM,1,115,613,8,7,5,7,2,0.13,29.5,86.5,4,3,0.9,106.5,9.5,12,143.5,0.0038,0.00962,0.318,21,10.5,4,6,1,0.9,109.5,6.5,109,3,0.98,113,3,31,6,0.94,108.5,7.5,55,3,0.98,113,3,19,26,0.2,24,92,15,9,0.47,62.5,53.5,8,9,0.19,30,86,2,1,0.49,86,30,0.5,1.78289,8.74778
0,football,HCM,1,115,613,8,7,5,7,2,0.13,29.5,86.5,4,3,0.9,106.5,9.5,12,143.5,0.0038,0.00962,0.318,21,10.5,4,6,1,0.9,109.5,6.5,109,3,0.98,113,3,31,6,0.94,108.5,7.5,55,3,0.98,113,3,19,26,0.2,24,92,15,9,0.47,62.5,53.5,8,9,0.19,30,86,2,1,0.49,86,30,1,0.66272,0.12193
0,football,HCM,1,115,613,8,7,5,7,2,0.13,29.5,86.5,4,3,0.9,106.5,9.5,12,143.5,0.0038,0.00962,0.318,21,10.5,4,6,1,0.9,109.5,6.5,109,3,0.98,113,3,31,6,0.94,108.5,7.5,55,3,0.98,113,3,19,26,0.2,24,92,15,9,0.47,62.5,53.5,8,9,0.19,30,86,2,1,0.49,86,30,5,0.12048,0.00261
1,football,HCM,1,115,613,9,8,4,8,1,0.38,79.5,36.5,3,4,0.62,87.5,28.5,12,96.5,0.0036,0.00961,0.424,28,10.5,3,6,1,0.9,109.5,6.5,83,29,0.75,87,29,18,19,0.42,51,65,54,4,0.96,111.5,4.5,32,13,0.68,78,38,21,3,0.85,100.5,15.5,8,9,0.19,30,86,1,2,0,28.5,87.5,0.5,2.15268,84.63492
1,football,HCM,1,115,613,9,8,4,8,1,0.38,79.5,36.5,3,4,0.62,87.5,28.5,12,96.5,0.0036,0.00961,0.424,28,10.5,3,6,1,0.9,109.5,6.5,83,29,0.75,87,29,18,19,0.42,51,65,54,4,0.96,111.5,4.5,32,13,0.68,78,38,21,3,0.85,100.5,15.5,8,9,0.19,30,86,1,2,0,28.5,87.5,1,0.70137,0.17053
1,football,HCM,1,115,613,9,8,4,8,1,0.38,79.5,36.5,3,4,0.62,87.5,28.5,12,96.5,0.0036,0.00961,0.424,28,10.5,3,6,1,0.9,109.5,6.5,83,29,0.75,87,29,18,19,0.42,51,65,54,4,0.96,111.5,4.5,32,13,0.68,78,38,21,3,0.85,100.5,15.5,8,9,0.19,30,86,1,2,0,28.5,87.5,5,0.12464,0.00269
10,football,HCM,1,115,613,12,8,2,8,1,0.38,79.5,36.5,1,6,0,9,107,10,61.6,0.00352,0.00822,0.422,19,10.9,4,4,3,0.08,23.5,92.5,30,82,0.25,30,86,12,25,0.18,24,92,14,44,0.12,15.5,100.5,31,14,0.63,75,41,13,11,0.23,33.5,82.5,12,5,0.73,86.5,29.5,2,1,0.49,86,30,0.5,1.85657,8.02058
10,football,HCM,1,115,613,12,8,2,8,1,0.38,79.5,36.5,1,6,0,9,107,10,61.6,0.00352,0.00822,0.422,19,10.9,4,4,3,0.08,23.5,92.5,30,82,0.25,30,86,12,25,0.18,24,92,14,44,0.12,15.5,100.5,31,14,0.63,75,41,13,11,0.23,33.5,82.5,12,5,0.73,86.5,29.5,2,1,0.49,86,30,1,0.7111,0.31437
10,football,HCM,1,115,613,12,8,2,8,1,0.38,79.5,36.5,1,6,0,9,107,10,61.6,0.00352,0.00822,0.422,19,10.9,4,4,3,0.08,23.5,92.5,30,82,0.25,30,86,12,25,0.18,24,92,14,44,0.12,15.5,100.5,31,14,0.63,75,41,13,11,0.23,33.5,82.5,12,5,0.73,86.5,29.5,2,1,0.49,86,30,5,0.12922,0.00322
100,football,HCM,1,115,613,11,8,3,8,1,0.38,79.5,36.5,2,5,0.15,44.5,71.5,11,68.4,0.00365,0.00883,0.4,22,11.1,4,5,2,0.32,70.5,45.5,40,72,0.34,40,76,22,15,0.66,79,37,29,29,0.36,43,73,29,16,0.56,66.5,49.5,16,8,0.61,75.5,40.5,14,3,0.82,101.5,14.5,2,1,0.49,86,30,0.5,2.51972,107.58412
