name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,football,original,,115,613,,,,,,,,,,,,,,12,209.3,0.00372,0.00959,0.348,23,10.8,3,6,1,0.9,109.5,6.5,105,2,0.99,114,2,39,6,0.92,108,8,66,4,0.97,112,4,17,31,0.23,27.5,88.5,18,10,0.59,71.5,44.5,12,7,0.48,65,51,1,2,0,10,106,0.5,1.81533,6.87801
0,football,original,,115,613,,,,,,,,,,,,,,12,209.3,0.00372,0.00959,0.348,23,10.8,3,6,1,0.9,109.5,6.5,105,2,0.99,114,2,39,6,0.92,108,8,66,4,0.97,112,4,17,31,0.23,27.5,88.5,18,10,0.59,71.5,44.5,12,7,0.48,65,51,1,2,0,10,106,1,0.67447,0.10213
0,football,original,,115,613,,,,,,,,,,,,,,12,209.3,0.00372,0.00959,0.348,23,10.8,3,6,1,0.9,109.5,6.5,105,2,0.99,114,2,39,6,0.92,108,8,66,4,0.97,112,4,17,31,0.23,27.5,88.5,18,10,0.59,71.5,44.5,12,7,0.48,65,51,1,2,0,10,106,5,0.11765,0.00271
1,football,original,,115,613,,,,,,,,,,,,,,12,113.5,0.00362,0.00964,0.439,29,10.7,4,6,1,0.9,109.5,6.5,83,24,0.79,91,25,33,12,0.82,95.5,20.5,68,2,0.99,114,2,29,19,0.65,75,41,24,4,0.88,104.5,11.5,11,8,0.39,50,66,2,1,0.17,67.5,48.5,0.5,1.73513,1.41707
1,football,original,,115,613,,,,,,,,,,,,,,12,113.5,0.00362,0.00964,0.439,29,10.7,4,6,1,0.9,109.5,6.5,83,24,0.79,91,25,33,12,0.82,95.5,20.5,68,2,0.99,114,2,29,19,0.65,75,41,24,4,0.88,104.5,11.5,11,8,0.39,50,66,2,1,0.17,67.5,48.5,1,0.68759,0.11321
1,football,original,,115,613,,,,,,,,,,,,,,12,113.5,0.00362,0.00964,0.439,29,10.7,4,6,1,0.9,109.5,6.5,83,24,0.79,91,25,33,12,0.82,95.5,20.5,68,2,0.99,114,2,29,19,0.65,75,41,24,4,0.88,104.5,11.5,11,8,0.39,50,66,2,1,0.17,67.5,48.5,5,0.12362,0.00323
10,football,original,,115,613,,,,,,,,,,,,,,10,44.5,0.00334,0.00821,0.444,20,10.8,4,4,3,0.08,23.5,92.5,12,95,0.1,12,104,11,34,0.11,14.5,101.5,14,56,0.12,16,100,30,18,0.66,77.5,38.5,15,13,0.31,43,73,12,7,0.48,65,51,2,1,0.17,67.5,48.5,0.5,1.98337,10.88444
10,football,original,,115,613,,,,,,,,,,,,,,10,44.5,0.00334,0.00821,0.444,20,10.8,4,4,3,0.08,23.5,92.5,12,95,0.1,12,104,11,34,0.11,14.5,101.5,14,56,0.12,16,100,30,18,0.66,77.5,38.5,15,13,0.31,43,73,12,7,0.48,65,51,2,1,0.17,67.5,48.5,1,0.74667,0.15359
10,football,original,,115,613,,,,,,,,,,,,,,10,44.5,0.00334,0.00821,0.444,20,10.8,4,4,3,0.08,23.5,92.5,12,95,0.1,12,104,11,34,0.11,14.5,101.5,14,56,0.12,16,100,30,18,0.66,77.5,38.5,15,13,0.31,43,73,12,7,0.48,65,51,2,1,0.17,67.5,48.5,5,0.12734,0.00279
100,football,original,,115,613,,,,,,,,,,,,,,10,102.6,0.00352,0.00821,0.422,19,10.7,4,4,3,0.08,23.5,92.5,75,32,0.72,83,33,25,20,0.55,66,50,14,56,0.12,16,100,27,21,0.57,69,47,14,14,0.21,30,86,11,8,0.39,50,66,2,1,0.17,67.5,48.5,0.5,3.04938,131.48049
100,football,original,,115,613,,,,,,,,,,,,,,10,102.6,0.00352,0.00821,0.422,19,10.7,4,4,3,0.08,23.5,92.5,75,32,0.72,83,33,25,20,0.55,66,50,14,56,0.12,16,100,27,21,0.57,69,47,14,14,0.21,30,86,11,8,0.39,50,66,2,1,0.17,67.5,48.5,1,0.82871,5.26693
100,football,original,,115,613,,,,,,,,,,,,,,10,102.6,0.00352,0.00821,0.422,19,10.7,4,4,3,0.08,23.5,92.5,75,32,0.72,83,33,25,20,0.55,66,50,14,56,0.12,16,100,27,21,0.57,69,47,14,14,0.21,30,86,11,8,0.39,50,66,2,1,0.17,67.5,48.5,5,0.12601,0.00274
