name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,karate,HCM,1,34,78,16,14,2,9,2,0.97,33,2,3,2,0.91,32,3,16,218.7,0.0172,0.0974,0.15,18,4.2,3,10,2,0.97,33,2,20,1,1,34,1,21,2,0.94,32,3,25,2,0.97,33,2,3,12,0.09,4,31,12,2,0.97,33,2,2,19,0.03,2,33,1,3,0,5,30,0.5,2.25593,8.85795
0,karate,HCM,1,34,78,16,14,2,9,2,0.97,33,2,3,2,0.91,32,3,16,218.7,0.0172,0.0974,0.15,18,4.2,3,10,2,0.97,33,2,20,1,1,34,1,21,2,0.94,32,3,25,2,0.97,33,2,3,12,0.09,4,31,12,2,0.97,33,2,2,19,0.03,2,33,1,3,0,5,30,1,1.09325,1.52931
0,karate,HCM,1,34,78,16,14,2,9,2,0.97,33,2,3,2,0.91,32,3,16,218.7,0.0172,0.0974,0.15,18,4.2,3,10,2,0.97,33,2,20,1,1,34,1,21,2,0.94,32,3,25,2,0.97,33,2,3,12,0.09,4,31,12,2,0.97,33,2,2,19,0.03,2,33,1,3,0,5,30,5,0.24601,0.1576
1,karate,HCM,1,34,78,16,8,1,7,4,0.91,31,4,2,3,0.64,26,9,9,58.6,0.0167,0.0528,0.361,13,7.2,3,7,5,0.88,30,5,17,4,0.91,31,4,20,3,0.91,31,4,22,5,0.88,30,5,7,8,0.3,11,24,10,4,0.91,31,4,7,14,0.24,9,26,1,3,0,5,30,0.5,2.91453,20.2073
1,karate,HCM,1,34,78,16,8,1,7,4,0.91,31,4,2,3,0.64,26,9,9,58.6,0.0167,0.0528,0.361,13,7.2,3,7,5,0.88,30,5,17,4,0.91,31,4,20,3,0.91,31,4,22,5,0.88,30,5,7,8,0.3,11,24,10,4,0.91,31,4,7,14,0.24,9,26,1,3,0,5,30,1,1.44373,8.24497
1,karate,HCM,1,34,78,16,8,1,7,4,0.91,31,4,2,3,0.64,26,9,9,58.6,0.0167,0.0528,0.361,13,7.2,3,7,5,0.88,30,5,17,4,0.91,31,4,20,3,0.91,31,4,22,5,0.88,30,5,7,8,0.3,11,24,10,4,0.91,31,4,7,14,0.24,9,26,1,3,0,5,30,5,0.27374,0.16434
10,karate,HCM,1,34,78,16,3,0,3,8,0.42,18,17,1,4,0,11,24,3,0.3,0.0115,0.022,0.667,2,7.7,4,3,9,0.36,15.5,19.5,2,19,0.39,14.5,20.5,6,17,0.18,10,25,11,16,0.48,17.5,17.5,12,3,0.52,19.5,15.5,3,11,0.48,17.5,17.5,9,12,0.3,12,23,2,2,0.27,17.5,17.5,0.5,9.52554,268.7689
10,karate,HCM,1,34,78,16,3,0,3,8,0.42,18,17,1,4,0,11,24,3,0.3,0.0115,0.022,0.667,2,7.7,4,3,9,0.36,15.5,19.5,2,19,0.39,14.5,20.5,6,17,0.18,10,25,11,16,0.48,17.5,17.5,12,3,0.52,19.5,15.5,3,11,0.48,17.5,17.5,9,12,0.3,12,23,2,2,0.27,17.5,17.5,1,6.1617,130.2227
10,karate,HCM,1,34,78,16,3,0,3,8,0.42,18,17,1,4,0,11,24,3,0.3,0.0115,0.022,0.667,2,7.7,4,3,9,0.36,15.5,19.5,2,19,0.39,14.5,20.5,6,17,0.18,10,25,11,16,0.48,17.5,17.5,12,3,0.52,19.5,15.5,3,11,0.48,17.5,17.5,9,12,0.3,12,23,2,2,0.27,17.5,17.5,5,1.28755,40.27173
11,karate,HCM,1,34,78,16,1,0,1,10,0,1.5,33.5,1,4,0,11,24,1,0,0.0111,0.00959,0,0,16,4,1,11,0,1,34,1,20,0,7,28,3,20,0.06,3,32,1,26,0,1,34,1,14,0,1.5,33.5,1,13,0,1.5,33.5,20,1,1,34,1,2,2,0.27,17.5,17.5,0.5,11.63066,262.6961
