name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,karate,HCMStar,1,34,78,16,14,2,9,2,0.97,33,2,3,2,0.91,32,3,16,176.6,0.0154,0.0884,0.0417,5,4,4,10,2,0.97,33,2,28,1,1,34,1,25,1,1,34,1,33,2,0.97,33,2,2,11,0.42,15,20,5,2,0.94,32.5,2.5,4,15,0.15,7,28,1,3,0,6,29,0.5,3.03419,23.96285
0,karate,HCMStar,1,34,78,16,14,2,9,2,0.97,33,2,3,2,0.91,32,3,16,176.6,0.0154,0.0884,0.0417,5,4,4,10,2,0.97,33,2,28,1,1,34,1,25,1,1,34,1,33,2,0.97,33,2,2,11,0.42,15,20,5,2,0.94,32.5,2.5,4,15,0.15,7,28,1,3,0,6,29,1,1.24259,2.22817
0,karate,HCMStar,1,34,78,16,14,2,9,2,0.97,33,2,3,2,0.91,32,3,16,176.6,0.0154,0.0884,0.0417,5,4,4,10,2,0.97,33,2,28,1,1,34,1,25,1,1,34,1,33,2,0.97,33,2,2,11,0.42,15,20,5,2,0.94,32.5,2.5,4,15,0.15,7,28,1,3,0,6,29,5,0.34841,0.25612
1,karate,HCMStar,1,34,78,16,8,1,7,4,0.91,31,4,2,3,0.64,26,9,9,43.4,0.0139,0.0488,0.0833,3,7,4,7,5,0.88,30,5,21,8,0.79,27,8,21,5,0.88,30,5,30,5,0.88,30,5,6,7,0.55,19,16,4,3,0.85,30,5,15,4,0.73,27,8,1,3,0,6,29,0.5,3.21789,27.05568
1,karate,HCMStar,1,34,78,16,8,1,7,4,0.91,31,4,2,3,0.64,26,9,9,43.4,0.0139,0.0488,0.0833,3,7,4,7,5,0.88,30,5,21,8,0.79,27,8,21,5,0.88,30,5,30,5,0.88,30,5,6,7,0.55,19,16,4,3,0.85,30,5,15,4,0.73,27,8,1,3,0,6,29,1,1.41188,4.57902
1,karate,HCMStar,1,34,78,16,8,1,7,4,0.91,31,4,2,3,0.64,26,9,9,43.4,0.0139,0.0488,0.0833,3,7,4,7,5,0.88,30,5,21,8,0.79,27,8,21,5,0.88,30,5,30,5,0.88,30,5,6,7,0.55,19,16,4,3,0.85,30,5,15,4,0.73,27,8,1,3,0,6,29,5,0.30867,0.19367
10,karate,HCMStar,1,34,78,16,3,0,3,8,0.42,18,17,1,4,0,11,24,3,0,0.0106,0.0189,0.333,1,7,5,3,9,0.36,15.5,19.5,1,28,0,4,31,9,17,0.27,11,24,12,23,0.33,12,23,11,2,0.76,28.5,6.5,2,5,0.42,19.5,15.5,15,4,0.73,27,8,2,2,0.33,20,15,0.5,4.15857,33.84673
10,karate,HCMStar,1,34,78,16,3,0,3,8,0.42,18,17,1,4,0,11,24,3,0,0.0106,0.0189,0.333,1,7,5,3,9,0.36,15.5,19.5,1,28,0,4,31,9,17,0.27,11,24,12,23,0.33,12,23,11,2,0.76,28.5,6.5,2,5,0.42,19.5,15.5,15,4,0.73,27,8,2,2,0.33,20,15,1,2.70556,25.34444
10,karate,HCMStar,1,34,78,16,3,0,3,8,0.42,18,17,1,4,0,11,24,3,0,0.0106,0.0189,0.333,1,7,5,3,9,0.36,15.5,19.5,1,28,0,4,31,9,17,0.27,11,24,12,23,0.33,12,23,11,2,0.76,28.5,6.5,2,5,0.42,19.5,15.5,15,4,0.73,27,8,2,2,0.33,20,15,5,0.53611,1.59166
11,karate,HCMStar,1,34,78,16,1,0,1,10,0,1.5,33.5,1,4,0,11,24,1,0,0.0068,0.014,0,0,2,6,1,11,0,1,34,1,28,0,4,31,1,25,0,1,34,2,33,0.03,2,33,1,12,0,7.5,27.5,1,6,0,7.5,27.5,1,18,0,1,34,3,1,0.85,31.5,3.5,0.5,8.1719,118.8113
