name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,karate,original,,34,78,,,,,,,,,,,,,,16,231.1,0.0172,0.097,0.15,18,4.3,3,10,2,0.97,33,2,21,1,1,34,1,20,1,1,34,1,24,2,0.97,33,2,3,11,0.09,4,31,13,1,1,34,1,3,21,0.06,3.5,31.5,1,3,0,4.5,30.5,0.5,2.49675,10.53086
0,karate,original,,34,78,,,,,,,,,,,,,,16,231.1,0.0172,0.097,0.15,18,4.3,3,10,2,0.97,33,2,21,1,1,34,1,20,1,1,34,1,24,2,0.97,33,2,3,11,0.09,4,31,13,1,1,34,1,3,21,0.06,3.5,31.5,1,3,0,4.5,30.5,1,1.05117,1.53393
0,karate,original,,34,78,,,,,,,,,,,,,,16,231.1,0.0172,0.097,0.15,18,4.3,3,10,2,0.97,33,2,21,1,1,34,1,20,1,1,34,1,24,2,0.97,33,2,3,11,0.09,4,31,13,1,1,34,1,3,21,0.06,3.5,31.5,1,3,0,4.5,30.5,5,0.35896,4.88873
1,karate,original,,34,78,,,,,,,,,,,,,,9,28.5,0.0147,0.0529,0.333,12,5.8,3,7,5,0.88,30,5,15,7,0.82,28,7,14,7,0.76,26,9,21,5,0.88,30,5,8,6,0.24,11,24,10,4,0.91,31,4,6,18,0.18,7,28,1,3,0,4.5,30.5,0.5,2.84097,17.07022
1,karate,original,,34,78,,,,,,,,,,,,,,9,28.5,0.0147,0.0529,0.333,12,5.8,3,7,5,0.88,30,5,15,7,0.82,28,7,14,7,0.76,26,9,21,5,0.88,30,5,8,6,0.24,11,24,10,4,0.91,31,4,6,18,0.18,7,28,1,3,0,4.5,30.5,1,1.47535,8.37955
1,karate,original,,34,78,,,,,,,,,,,,,,9,28.5,0.0147,0.0529,0.333,12,5.8,3,7,5,0.88,30,5,15,7,0.82,28,7,14,7,0.76,26,9,21,5,0.88,30,5,8,6,0.24,11,24,10,4,0.91,31,4,6,18,0.18,7,28,1,3,0,4.5,30.5,5,0.31065,1.39519
10,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,0.5,5.4918,85.55884
10,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,1,3.08755,40.23593
10,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,5,0.4492,2.20321
11,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,0.5,5.668,121.52169
11,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,1,3.04367,35.76005
11,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,5,0.77201,9.59778
12,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,0.5,5.60038,100.64703
12,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,1,3.1384,38.03107
12,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,5,0.694,8.91201
13,karate,original,,34,78,,,,,,,,,,,,,,3,17.1,0.0152,0.0196,0.333,1,14,3,3,9,0.36,15.5,19.5,13,9,0.76,26,9,15,6,0.79,27,8,7,19,0.36,13.5,21.5,8,6,0.24,11,24,2,12,0.06,10,25,21,3,0.82,28,7,1,3,0,4.5,30.5,0.5,4.72875,64.86906
13,karate,original,,34,78,,,,,,,,,,,,,,3,17.1,0.0152,0.0196,0.333,1,14,3,3,9,0.36,15.5,19.5,13,9,0.76,26,9,15,6,0.79,27,8,7,19,0.36,13.5,21.5,8,6,0.24,11,24,2,12,0.06,10,25,21,3,0.82,28,7,1,3,0,4.5,30.5,1,2.45588,22.36531
13,karate,original,,34,78,,,,,,,,,,,,,,3,17.1,0.0152,0.0196,0.333,1,14,3,3,9,0.36,15.5,19.5,13,9,0.76,26,9,15,6,0.79,27,8,7,19,0.36,13.5,21.5,8,6,0.24,11,24,2,12,0.06,10,25,21,3,0.82,28,7,1,3,0,4.5,30.5,5,0.42563,5.15722
14,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,0.5,5.58663,73.73405
14,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,1,3.19403,39.6776
14,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,5,0.70991,7.87678
15,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,0.5,5.6764,79.73177
15,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,1,3.74454,63.02797
15,karate,original,,34,78,,,,,,,,,,,,,,2,0,0.0112,0.0145,1,1,14.5,5,2,10,0.03,7,28,1,21,0,6.5,28.5,4,17,0.09,6.5,28.5,3,23,0.06,5,30,13,1,0.7,29,6,2,12,0.06,10,25,22,2,0.85,31,4,3,1,0.76,30,5,5,0.75602,15.3234
16,karate,original,,34,78,,,,,,,,,,,,,,5,9.3,0.0119,0.0315,0.4,4,8,5,5,7,0.73,26,9,10,12,0.64,22,13,8,13,0.55,19,16,18,8,0.79,27,8,9,5,0.39,14,21,5,9,0.7,24.5,10.5,10,14,0.39,14,21,3,1,0.76,30,5,0.5,4.79235,65.723
16,karate,original,,34,78,,,,,,,,,,,,,,5,9.3,0.0119,0.0315,0.4,4,8,5,5,7,0.73,26,9,10,12,0.64,22,13,8,13,0.55,19,16,18,8,0.79,27,8,9,5,0.39,14,21,5,9,0.7,24.5,10.5,10,14,0.39,14,21,3,1,0.76,30,5,1,2.20473,22.9809
16,karate,original,,34,78,,,,,,,,,,,,,,5,9.3,0.0119,0.0315,0.4,4,8,5,5,7,0.73,26,9,10,12,0.64,22,13,8,13,0.55,19,16,18,8,0.79,27,8,9,5,0.39,14,21,5,9,0.7,24.5,10.5,10,14,0.39,14,21,3,1,0.76,30,5,5,0.36494,4.40422
17,karate,original,,34,78,,,,,,,,,,,,,,3,1.2,0.0114,0.0211,0.333,1,4.3,4,3,9,0.36,15.5,19.5,5,17,0.48,17,18,5,16,0.27,11.5,23.5,9,17,0.45,16,19,8,6,0.24,11,24,2,12,0.06,10,25,3,21,0.06,3.5,31.5,2,2,0.24,17,18,0.5,6.71208,113.05488
17,karate,original,,34,78,,,,,,,,,,,,,,3,1.2,0.0114,0.0211,0.333,1,4.3,4,3,9,0.36,15.5,19.5,5,17,0.48,17,18,5,16,0.27,11.5,23.5,9,17,0.45,16,19,8,6,0.24,11,24,2,12,0.06,10,25,3,21,0.06,3.5,31.5,2,2,0.24,17,18,1,4.02738,68.43517
17,karate,original,,34,78,,,,,,,,,,,,,,3,1.2,0.0114,0.0211,0.333,1,4.3,4,3,9,0.36,15.5,19.5,5,17,0.48,17,18,5,16,0.27,11.5,23.5,9,17,0.45,16,19,8,6,0.24,11,24,2,12,0.06,10,25,3,21,0.06,3.5,31.5,2,2,0.24,17,18,5,0.42067,1.64543
18,karate,original,,34,78,,,,,,,,,,,,,,3,2,0.0114,0.021,0.333,1,4.7,4,3,9,0.36,15.5,19.5,7,15,0.55,19,16,5,16,0.27,11.5,23.5,8,18,0.42,15,20,8,6,0.24,11,24,2,12,0.06,10,25,4,20,0.12,5,30,2,2,0.24,17,18,0.5,6.33711,97.7959
