name,graphName,type,version,totalNodes,totalEdges,communitySize,intra-degree,inter-degree,intra-degree_denseRank,intra-degree_reverseDenseRank,intra-degree_percentRank,intra-degree_averageRank,intra-degree_reverseAverageRank,inter-degree_denseRank,inter-degree_reverseDenseRank,inter-degree_percentRank,inter-degree_averageRank,inter-degree_reverseAverageRank,degree,betweenness,closeness,pageRank,transitivity,triangleCount,knn,eccentricity,degree_denseRank,degree_reverseDenseRank,degree_percentRank,degree_averageRank,degree_reverseAverageRank,betweenness_denseRank,betweenness_reverseDenseRank,betweenness_percentRank,betweenness_averageRank,betweenness_reverseAverageRank,closeness_denseRank,closeness_reverseDenseRank,closeness_percentRank,closeness_averageRank,closeness_reverseAverageRank,pageRank_denseRank,pageRank_reverseDenseRank,pageRank_percentRank,pageRank_averageRank,pageRank_reverseAverageRank,transitivity_denseRank,transitivity_reverseDenseRank,transitivity_percentRank,transitivity_averageRank,transitivity_reverseAverageRank,triangleCount_denseRank,triangleCount_reverseDenseRank,triangleCount_percentRank,triangleCount_averageRank,triangleCount_reverseAverageRank,knn_denseRank,knn_reverseDenseRank,knn_percentRank,knn_averageRank,knn_reverseAverageRank,eccentricity_denseRank,eccentricity_reverseDenseRank,eccentricity_percentRank,eccentricity_averageRank,eccentricity_reverseAverageRank,tau,sentinel,sentinelVar
0,polbooks,HCMStar,2,105,441,13,2,4,3,20,0.09,12.5,93.5,5,5,0.87,94,12,6,126.5,0.00372,0.0074,0.0667,1,8.7,4,5,17,0.41,49,57,76,28,0.74,78,28,57,20,0.78,82.5,23.5,46,50,0.48,52,54,10,35,0.32,34.5,71.5,2,20,0.2,31,75,22,30,0.31,34,72,2,2,0.01,27,79,0.5,7.69974,566.46651
0,polbooks,HCMStar,2,105,441,13,2,4,3,20,0.09,12.5,93.5,5,5,0.87,94,12,6,126.5,0.00372,0.0074,0.0667,1,8.7,4,5,17,0.41,49,57,76,28,0.74,78,28,57,20,0.78,82.5,23.5,46,50,0.48,52,54,10,35,0.32,34.5,71.5,2,20,0.2,31,75,22,30,0.31,34,72,2,2,0.01,27,79,1,1.96049,93.04146
0,polbooks,HCMStar,2,105,441,13,2,4,3,20,0.09,12.5,93.5,5,5,0.87,94,12,6,126.5,0.00372,0.0074,0.0667,1,8.7,4,5,17,0.41,49,57,76,28,0.74,78,28,57,20,0.78,82.5,23.5,46,50,0.48,52,54,10,35,0.32,34.5,71.5,2,20,0.2,31,75,22,30,0.31,34,72,2,2,0.01,27,79,5,0.16803,0.012
1,polbooks,HCMStar,2,105,441,49,2,2,3,20,0.09,12.5,93.5,3,7,0.7,79,27,4,23,0.00346,0.00515,0,0,10.8,4,3,19,0.07,14.5,91.5,38,66,0.37,39,67,42,35,0.55,58,48,8,88,0.07,8,98,1,44,0,11,95,1,21,0,11,95,41,11,0.84,88.5,17.5,2,2,0.01,27,79,0.5,7.75334,307.86812
1,polbooks,HCMStar,2,105,441,49,2,2,3,20,0.09,12.5,93.5,3,7,0.7,79,27,4,23,0.00346,0.00515,0,0,10.8,4,3,19,0.07,14.5,91.5,38,66,0.37,39,67,42,35,0.55,58,48,8,88,0.07,8,98,1,44,0,11,95,1,21,0,11,95,41,11,0.84,88.5,17.5,2,2,0.01,27,79,1,1.98818,29.47513
1,polbooks,HCMStar,2,105,441,49,2,2,3,20,0.09,12.5,93.5,3,7,0.7,79,27,4,23,0.00346,0.00515,0,0,10.8,4,3,19,0.07,14.5,91.5,38,66,0.37,39,67,42,35,0.55,58,48,8,88,0.07,8,98,1,44,0,11,95,1,21,0,11,95,41,11,0.84,88.5,17.5,2,2,0.01,27,79,5,0.19893,0.03485
10,polbooks,HCMStar,2,105,441,49,14,1,14,9,0.87,92,14,2,8,0.54,65,41,15,287.5,0.00398,0.0158,0.124,13,9.2,4,14,8,0.86,90.5,15.5,93,11,0.9,95,11,68,9,0.91,96,10,81,15,0.85,89.5,16.5,24,21,0.58,61,45,14,8,0.88,94,12,27,25,0.43,48,58,2,2,0.01,27,79,0.5,2.08054,2.98063
10,polbooks,HCMStar,2,105,441,49,14,1,14,9,0.87,92,14,2,8,0.54,65,41,15,287.5,0.00398,0.0158,0.124,13,9.2,4,14,8,0.86,90.5,15.5,93,11,0.9,95,11,68,9,0.91,96,10,81,15,0.85,89.5,16.5,24,21,0.58,61,45,14,8,0.88,94,12,27,25,0.43,48,58,2,2,0.01,27,79,1,0.82378,0.48118
10,polbooks,HCMStar,2,105,441,49,14,1,14,9,0.87,92,14,2,8,0.54,65,41,15,287.5,0.00398,0.0158,0.124,13,9.2,4,14,8,0.86,90.5,15.5,93,11,0.9,95,11,68,9,0.91,96,10,81,15,0.85,89.5,16.5,24,21,0.58,61,45,14,8,0.88,94,12,27,25,0.43,48,58,2,2,0.01,27,79,5,0.14613,0.0237
100,polbooks,HCMStar,2,105,441,43,12,0,12,11,0.82,87,19,1,9,0,28.5,77.5,12,44.9,0.00355,0.0126,0.167,11,10.6,4,11,11,0.8,84.5,21.5,55,49,0.53,56,50,48,29,0.64,69,37,76,20,0.8,84,22,29,16,0.64,70.5,35.5,12,10,0.87,91,15,39,13,0.81,85.5,20.5,2,2,0.01,27,79,0.5,2.41508,19.64556
100,polbooks,HCMStar,2,105,441,43,12,0,12,11,0.82,87,19,1,9,0,28.5,77.5,12,44.9,0.00355,0.0126,0.167,11,10.6,4,11,11,0.8,84.5,21.5,55,49,0.53,56,50,48,29,0.64,69,37,76,20,0.8,84,22,29,16,0.64,70.5,35.5,12,10,0.87,91,15,39,13,0.81,85.5,20.5,2,2,0.01,27,79,1,0.85621,0.46353
100,polbooks,HCMStar,2,105,441,43,12,0,12,11,0.82,87,19,1,9,0,28.5,77.5,12,44.9,0.00355,0.0126,0.167,11,10.6,4,11,11,0.8,84.5,21.5,55,49,0.53,56,50,48,29,0.64,69,37,76,20,0.8,84,22,29,16,0.64,70.5,35.5,12,10,0.87,91,15,39,13,0.81,85.5,20.5,2,2,0.01,27,79,5,0.14825,0.01135
101,polbooks,HCMStar,2,105,441,43,5,0,6,17,0.37,47.5,58.5,1,9,0,28.5,77.5,5,12.1,0.00288,0.00648,0.1,1,9.2,5,4,18,0.2,32.5,73.5,22,82,0.21,23,83,9,68,0.09,10,96,33,63,0.36,38,68,20,25,0.45,51.5,54.5,2,20,0.2,31,75,27,25,0.43,48,58,3,1,0.5,79,27,0.5,6.48427,230.63128
101,polbooks,HCMStar,2,105,441,43,5,0,6,17,0.37,47.5,58.5,1,9,0,28.5,77.5,5,12.1,0.00288,0.00648,0.1,1,9.2,5,4,18,0.2,32.5,73.5,22,82,0.21,23,83,9,68,0.09,10,96,33,63,0.36,38,68,20,25,0.45,51.5,54.5,2,20,0.2,31,75,27,25,0.43,48,58,3,1,0.5,79,27,1,2.03643,39.75021
101,polbooks,HCMStar,2,105,441,43,5,0,6,17,0.37,47.5,58.5,1,9,0,28.5,77.5,5,12.1,0.00288,0.00648,0.1,1,9.2,5,4,18,0.2,32.5,73.5,22,82,0.21,23,83,9,68,0.09,10,96,33,63,0.36,38,68,20,25,0.45,51.5,54.5,2,20,0.2,31,75,27,25,0.43,48,58,3,1,0.5,79,27,5,0.19897,0.02699
102,polbooks,HCMStar,2,105,441,43,3,1,4,19,0.14,20,86,2,8,0.54,65,41,4,40.8,0.00329,0.00577,0.167,1,8.2,4,3,19,0.07,14.5,91.5,51,53,0.49,52,54,34,43,0.4,43.5,62.5,20,76,0.18,20.5,85.5,29,16,0.64,70.5,35.5,2,20,0.2,31,75,18,34,0.21,24,82,2,2,0.01,27,79,0.5,12.80809,664.23693
102,polbooks,HCMStar,2,105,441,43,3,1,4,19,0.14,20,86,2,8,0.54,65,41,4,40.8,0.00329,0.00577,0.167,1,8.2,4,3,19,0.07,14.5,91.5,51,53,0.49,52,54,34,43,0.4,43.5,62.5,20,76,0.18,20.5,85.5,29,16,0.64,70.5,35.5,2,20,0.2,31,75,18,34,0.21,24,82,2,2,0.01,27,79,1,6.32135,650.74646
102,polbooks,HCMStar,2,105,441,43,3,1,4,19,0.14,20,86,2,8,0.54,65,41,4,40.8,0.00329,0.00577,0.167,1,8.2,4,3,19,0.07,14.5,91.5,51,53,0.49,52,54,34,43,0.4,43.5,62.5,20,76,0.18,20.5,85.5,29,16,0.64,70.5,35.5,2,20,0.2,31,75,18,34,0.21,24,82,2,2,0.01,27,79,5,0.35434,6.84336
103,polbooks,HCMStar,2,105,441,13,1,1,2,21,0.03,6.5,99.5,2,8,0.54,65,41,2,5,0.00267,0.00424,0,0,4,5,1,21,0,1,105,9,95,0.08,9,97,1,76,0,1,105,2,94,0.01,2,104,1,44,0,11,95,1,21,0,11,95,1,51,0,1,105,3,1,0.5,79,27,0.5,30.44861,2504.32347
